tracking_id,datetime,wind_speed(m/s),atmospheric_temperature(°C),shaft_temperature(°C),blades_angle(°),gearbox_temperature(°C),engine_temperature(°C),motor_torque(N-m),generator_temperature(°C),atmospheric_pressure(Pascal),area_temperature(°C),windmill_body_temperature(°C),wind_direction(°),resistance(ohm),rotor_torque(N-m),turbine_status,cloud_level,blade_length(m),blade_breadth(m),windmill_height(m),windmill_generated_power(kW/h)
WM_33725,2019-08-04 14:33:20,94.8200233720515,-99.0,41.72301901002243,-0.9034229029964116,82.4105731886329,42.52301541748179,2563.124522271667,76.66555995046423,103402.96187187573,26.897874894010407,,239.8363875052193,2730.3106046321127,42.08466579565807,BA,Medium,2.2175416426903607,0.3140648354496715,24.281688936170152,6.766520694736843
WM_698,2018-11-05 10:13:20,241.8327342433292,27.76478479112673,-99.0,-99.0,44.10491890863709,46.258870003796375,2372.38411894776,78.1298027428093,17030.904077977753,39.801468827085245,,337.9447227332424,1780.2071995998808,107.8886430085544,A2,Medium,4.210346301256763,0.4484944228116708,27.262138695327128,5.96627481
WM_39146,2019-09-14 14:03:20,95.4847243168022,,41.85547318972749,12.652763475555592,42.32209842785778,42.87855166354412,1657.169646195769,67.6544685304314,16125.927107237136,36.1160646540976,45.0331967484824,227.8502939210065,1666.0498999785425,-42.93145891998506,ABC,Medium,2.719474975316885,0.3023209962229353,27.36612717682672,2.8743419684210534
WM_6757,2018-12-25 15:33:20,238.819424189392,-99.0,45.443914225591456,15.115322824033306,44.7596425098985,47.28210075871684,2888.1340790298927,95.38997435471028,18689.73233594912,46.020045453978526,44.82715436890128,492.0815204039821,1964.502894909406,42.74459574387468,ABC,,4.857385190162686,0.3671399132983688,24.28776674785548,14.851089325
WM_21521,2019-05-04 03:13:20,10.722890034533624,,41.981183413619874,1.71569609953903,-17.616458500566907,43.46985211107324,781.6954191808074,37.42306542856196,114468.1690070874,34.5729405761365,-99.0,259.2746005570492,1177.5161521986615,13.387288791628142,AAA,Medium,,0.4533737177002331,27.97165033838181,3.5190735473684214
WM_17873,2019-03-22 21:03:20,93.76997287836076,30.326226467517444,17.970618557591695,-99.0,43.81643007916192,40.81579477920149,2119.3516532559297,72.34512552909368,,35.315292328699,101.37818430578464,,1715.2441209767542,97.74646258321948,ABC,Low,2.5040979673986272,0.3956419510001493,24.673291554207765,4.945779795
WM_19873,2019-04-17 18:33:20,16.026249029661933,-99.0,44.07281919981682,-0.1968448342027381,41.68058346263621,43.38490372782855,778.109985030557,40.28401769611645,121813.38315827346,33.8493888563638,43.00874573677933,528.0039851460041,1222.9312702625589,11.805112577673064,BD,Low,2.917921566047818,0.4473413773015703,33.59351134584614,5.089173484210527
WM_30330,2019-07-08 21:03:20,48.73782575701743,12.716814737860943,43.21777784201217,-99.0,-48.40508870890044,44.12584259796456,980.9885305781588,43.69186739990144,120923.02489268938,30.553158645773884,-99.0,,1177.6373410961785,18.38487345242703,BA,Low,2.938810101690543,0.3548809785900193,29.944820997892904,8.536889425000002
WM_26069,2019-06-07 17:53:20,47.08172860513744,-99.0,-33.607048178406224,-99.0,43.05542663523045,45.25362821668158,957.5801505589598,41.60978658107752,119628.96470912176,26.16807294593739,43.21606194160905,281.3686251915751,-99.0,19.48676278616754,ABC,Low,1.651437701052061,0.3015496226157202,46.733508944180166,8.739166061111113
WM_28915,2019-06-28 16:13:20,283.78932912653124,18.887932134282664,41.69146917868994,52.33702620285682,-62.7243616522494,41.88125622496549,1042.0861352766528,65.28022467804011,16160.281605499877,29.381862182441346,-99.0,352.26852106276294,1662.076276733863,20.100682953107,AC,Extremely Low,1.0608167226227987,0.2016990017342707,24.32406766597424,1.948810389473684
WM_24405,2019-05-24 12:23:20,91.9961731037127,,41.87308194415713,69.4844586833289,-12.381636007405042,43.133389992415474,1146.9241554934183,69.35793527173607,16453.592349071037,23.151475004673934,41.19579041408398,248.81425858571063,1662.7329642866207,23.05709870819585,BB,Medium,2.939582107892164,0.3019110457691409,24.55546494364452,3.906959815
WM_2506,2018-11-22 08:23:20,92.77435084676227,15.843846173100944,44.2253674679012,-0.6008648834355846,40.70747491300555,44.95772351866718,2052.8491710951107,74.76006507586374,16807.82712514203,38.9670682209715,-11.676453353930704,,1720.0158952388986,36.15003304776364,BCB,Low,4.698403289297147,0.4746631918654477,27.80759810439256,5.22921988
WM_29855,2019-07-05 10:03:20,11.596508369650849,10.164266393529196,-6.382524650016073,1.2848401608735496,43.01885643537598,39.6961584544743,766.316211253097,37.527238783345055,112061.25854821516,22.95195034460989,40.14483415062337,279.1546737282006,1188.0479554580018,12.038656119361129,BCB,Medium,2.902797135632544,0.4448593611162179,20.15426742182978,3.56611481
WM_32350,2019-07-23 07:23:20,11.113761449401425,12.680414144275892,42.22649708217104,-99.0,40.71685059556232,40.73742754483736,775.4188831028325,38.0747146264945,,29.41502245851474,41.26186678024308,,1180.5767961463162,12.98519269859737,AC,Medium,2.586634612585396,0.428853688902053,60.07082891642152,3.757819795000001
WM_37068,2019-08-28 15:03:20,94.72313775163587,30.58851678897026,42.70087116076744,79.45387137038341,-26.125560062074584,42.97325852841448,1019.2751706261772,66.97386157857305,16385.16972972478,38.54810319930101,,101.80601219097652,1660.0941235297266,20.0,AC,Medium,,0.363159019709241,25.47907924317272,2.48530545
WM_16066,2019-03-06 08:13:20,35.867840638735416,,16.690768465095253,-1.070354928731724,43.72810159049762,47.48120412285465,896.5546953015403,43.28570832385709,125120.50557603702,34.41685169985743,43.71615038170051,,1368.4264841992117,-44.93047912652458,A2,Medium,4.319635092210352,0.4930488540244037,26.95889056236256,7.940844665
WM_39909,2019-09-19 21:33:20,94.76680098841204,20.87112870585453,46.07435055737166,-0.0549007458203128,46.88882523482232,42.168074759884256,2691.4674820806667,85.70385697159895,,44.90714993688616,44.24348108725322,248.6038893201209,482.0105413665101,47.04537430176401,B,Medium,,0.4776416451184709,25.23560832254166,8.923404888888891
WM_16034,2019-03-06 02:53:20,95.30274133172654,26.336034970150685,13.39490541923125,8.335558111305476,45.36362965181719,44.08143605157797,2967.570100840441,90.53039924877918,19066.1364663938,36.020073908062386,-99.0,475.32715314375207,1955.482917880469,49.57836097950766,BCB,Medium,2.934849190822125,0.3781670946017786,25.27841610607176,10.21414425
WM_33312,2019-08-01 16:13:20,95.86879756150196,15.767437335826038,43.2775376961452,83.24447412452228,92.4685074987936,40.484791577756205,1009.5671014366932,66.27223553082919,,29.73833975134881,84.45562522778292,180.9842242758216,1652.7086351629705,21.141816063940745,BCB,Medium,4.826971179076356,0.3501161950120226,25.658486610161308,3.048689835
WM_4967,2018-12-10 11:23:20,96.32447536169508,26.869915363090072,46.0423263392335,-0.7195758492649315,43.39989566857681,43.58224283315592,2628.134067132941,81.9736435431684,17792.573724467216,33.4171657705076,-99.0,182.3700710691813,1890.1027813609849,46.66283983832581,BA,Medium,4.3001386951971785,0.4862411191189052,27.90345409122842,7.694334599999999
WM_5591,2018-12-16 22:53:20,213.1544513302582,35.61207693738331,42.710522598137,-0.8364049251027734,34.21133956505247,41.54210864560365,2388.033761470585,73.50939884054945,17184.07374039522,41.97568662992414,43.66619519547345,488.3331256070432,1797.6239547572443,-13.150070615125792,ABC,Medium,,0.4442997416712579,27.324197073157965,6.759859715
WM_37671,2019-09-03 19:53:20,97.08315676734908,20.86641488346215,43.13990332683088,-99.0,42.36169772194973,42.65281446653057,2225.951822186935,72.25593750821513,16963.969549335427,39.28044440934096,46.79147244408398,237.70084312830784,1765.2746689394914,38.5374340203723,A2,Low,4.940562343338318,0.4389268992243861,16.48746716446764,5.771266455555557
